Email Marketing Performance — 2026,,,,,,,,,,
Date,Campaign,Type,Sent,Delivered,Opens,Clicks,Unsubscribes,Open Rate,Click Rate,Notes
2026-01-15,January Newsletter,Newsletter,"4,200","4,100","1,640",328,12,40.0%,8.0%,
2026-01-28,Server Rebuild Announcement,Product Announcement,"4,250","4,160","1,830",540,9,44.0%,13.0%,
2026-02-12,February Newsletter,Newsletter,"4,380","4,270","1,580",300,15,37.0%,7.0%,
2026-03-04,MailBox Beta Invite,Product Announcement,"4,400","4,300","1,935",620,7,45.0%,14.4%,
2026-03-25,March Newsletter,Newsletter,"4,520","4,400","1,540",280,18,35.0%,6.4%,
2026-04-10,Testimonial Request,Testimonial Request,"2,100","2,060",990,210,4,48.1%,10.2%,
2026-04-29,Spring Promo,Promo,"4,600","4,480","1,700",510,21,37.9%,11.4%,
2026-05-14,May Newsletter,Newsletter,"4,700","4,580","1,600",295,16,34.9%,6.4%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
,,,,,,,,0.0%,0.0%,
