xCloud — GA4 Traffic Acquisition by Channel  |  Jan 2025 – May 2026,,,,,,,,,,,,,,
Month,Channel,Sessions,Sessions %,Engaged sessions,Engaged %,Engagement rate,Avg time/session,Events/session,Event count,Event count %,Key events,Key events %,Session key event rate,Total revenue
Jan 2025,TOTAL,"11,032",,"5,058",,45.85%,47s,4.71,"51,959",,0.00,,0.00%,$0.00
Jan 2025,Organic Search,"5,730",51.94%,"2,837",56.09%,49.51%,52s,4.79,"27,453",52.84%,0.00,,0.00%,$0.00
Jan 2025,Direct,"3,491",31.64%,"1,415",27.98%,40.53%,38s,4.39,"15,334",29.51%,0.00,,0.00%,$0.00
Jan 2025,Referral,"1,393",12.63%,578,11.43%,41.49%,37s,4.37,"6,082",11.71%,0.00,,0.00%,$0.00
Jan 2025,Organic Social,398,3.61%,183,3.62%,45.98%,32s,4.24,"1,686",3.24%,0.00,,0.00%,$0.00
Jan 2025,Organic Video,158,1.43%,70,1.38%,44.30%,58s,4.99,789,1.52%,0.00,,0.00%,$0.00
Jan 2025,Email,76,0.69%,50,0.99%,65.79%,1m 07s,5.51,419,0.81%,0.00,,0.00%,$0.00
Jan 2025,Unassigned,57,0.52%,1,0.02%,1.75%,1m 35s,3.44,196,0.38%,0.00,,0.00%,$0.00
Feb 2025,TOTAL,"10,876",,"4,914",,45.18%,46s,4.61,"50,091",,0.00,,0.00%,$0.00
Feb 2025,Organic Search,"5,656",52.00%,"2,766",56.29%,48.90%,54s,4.79,"27,072",54.05%,0.00,,0.00%,$0.00
Feb 2025,Direct,"3,560",32.73%,"1,334",27.15%,37.47%,32s,4.20,"14,941",29.83%,0.00,,0.00%,$0.00
Feb 2025,Referral,"1,106",10.17%,498,10.13%,45.03%,44s,4.52,"4,997",9.98%,0.00,,0.00%,$0.00
Feb 2025,Organic Social,430,3.95%,198,4.03%,46.05%,40s,4.47,"1,923",3.84%,0.00,,0.00%,$0.00
Feb 2025,Organic Video,155,1.43%,77,1.57%,49.68%,49s,5.06,784,1.57%,0.00,,0.00%,$0.00
Feb 2025,Unassigned,58,0.53%,2,0.04%,3.45%,1m 24s,3.53,205,0.41%,0.00,,0.00%,$0.00
Feb 2025,Email,28,0.26%,21,0.43%,75.00%,43s,5.61,157,0.31%,0.00,,0.00%,$0.00
Feb 2025,Paid Search,4,0.04%,0,0.00%,0.00%,0s,3.00,12,0.02%,0.00,,0.00%,$0.00
Mar 2025,TOTAL,"13,095",,"6,310",,48.19%,47s,4.69,"61,471",,0.00,,0.00%,$0.00
Mar 2025,Organic Search,"6,891",52.62%,"3,566",56.51%,51.75%,53s,4.86,"33,491",54.48%,0.00,,0.00%,$0.00
Mar 2025,Direct,"4,561",34.83%,"1,900",30.11%,41.66%,36s,4.23,"19,306",31.41%,0.00,,0.00%,$0.00
Mar 2025,Referral,"1,036",7.91%,494,7.83%,47.68%,48s,4.54,"4,707",7.66%,0.00,,0.00%,$0.00
Mar 2025,Organic Social,608,4.64%,286,4.53%,47.04%,30s,4.35,"2,643",4.30%,0.00,,0.00%,$0.00
Mar 2025,Organic Video,152,1.16%,72,1.14%,47.37%,1m 09s,6.10,927,1.51%,0.00,,0.00%,$0.00
Mar 2025,Unassigned,70,0.53%,7,0.11%,10.00%,1m 16s,3.61,253,0.41%,0.00,,0.00%,$0.00
Mar 2025,Email,34,0.26%,16,0.25%,47.06%,16s,3.62,123,0.20%,0.00,,0.00%,$0.00
Mar 2025,Paid Search,7,0.05%,0,0.00%,0.00%,0s,3.00,21,0.03%,0.00,,0.00%,$0.00
Apr 2025,TOTAL,"12,461",,"5,540",,44.46%,41s,4.33,"54,017",,0.00,,0.00%,$0.00
Apr 2025,Organic Search,"6,448",51.75%,"3,153",56.91%,48.90%,46s,4.45,"28,681",53.10%,0.00,,0.00%,$0.00
Apr 2025,Direct,"4,367",35.05%,"1,574",28.41%,36.04%,28s,4.10,"17,911",33.16%,0.00,,0.00%,$0.00
Apr 2025,Referral,777,6.24%,390,7.04%,50.19%,56s,4.82,"3,749",6.94%,0.00,,0.00%,$0.00
Apr 2025,Organic Social,566,4.54%,286,5.16%,50.53%,41s,4.35,"2,462",4.56%,0.00,,0.00%,$0.00
Apr 2025,Organic Video,166,1.33%,85,1.53%,51.20%,2m 10s,5.39,894,1.66%,0.00,,0.00%,$0.00
Apr 2025,Unassigned,68,0.55%,2,0.04%,2.94%,57s,3.32,226,0.42%,0.00,,0.00%,$0.00
Apr 2025,Email,14,0.11%,7,0.13%,50.00%,1m 41s,6.71,94,0.17%,0.00,,0.00%,$0.00
May 2025,TOTAL,"15,195",,"6,734",,44.32%,46s,4.50,"68,439",,0.00,,0.00%,$0.00
May 2025,Organic Search,"7,156",47.09%,"3,487",51.78%,48.73%,50s,4.59,"32,835",47.98%,0.00,,0.00%,$0.00
May 2025,Direct,"5,932",39.04%,"2,297",34.11%,38.72%,39s,4.26,"25,299",36.97%,0.00,,0.00%,$0.00
May 2025,Referral,"1,036",6.82%,502,7.45%,48.46%,50s,4.60,"4,768",6.97%,0.00,,0.00%,$0.00
May 2025,Organic Social,957,6.30%,437,6.49%,45.66%,33s,4.23,"4,050",5.92%,0.00,,0.00%,$0.00
May 2025,Organic Video,247,1.63%,103,1.53%,41.70%,34s,4.16,"1,028",1.50%,0.00,,0.00%,$0.00
May 2025,Unassigned,61,0.40%,5,0.07%,8.20%,2m 33s,5.36,327,0.48%,0.00,,0.00%,$0.00
May 2025,Email,19,0.13%,11,0.16%,57.89%,1m 05s,5.37,102,0.15%,0.00,,0.00%,$0.00
May 2025,Organic Shopping,8,0.05%,2,0.03%,25.00%,1m 55s,3.75,30,0.04%,0.00,,0.00%,$0.00
Jun 2025,TOTAL,"17,416",,"8,036",,46.14%,48s,4.49,"78,249",,0.00,,0.00%,$0.00
Jun 2025,Organic Search,"8,571",49.21%,"4,153",51.68%,48.45%,51s,4.55,"39,039",49.89%,0.00,,0.00%,$0.00
Jun 2025,Direct,"5,662",32.51%,"2,293",28.53%,40.50%,40s,4.36,"24,686",31.55%,0.00,,0.00%,$0.00
Jun 2025,Referral,"1,248",7.17%,614,7.64%,49.20%,55s,4.76,"5,936",7.59%,0.00,,0.00%,$0.00
Jun 2025,Organic Social,906,5.20%,397,4.94%,43.82%,20s,4.05,"3,673",4.69%,0.00,,0.00%,$0.00
Jun 2025,Unassigned,439,2.52%,238,2.96%,54.21%,1m 47s,5.10,"2,240",2.86%,0.00,,0.00%,$0.00
Jun 2025,Organic Video,438,2.51%,252,3.14%,57.53%,1m 05s,5.56,"2,435",3.11%,0.00,,0.00%,$0.00
Jun 2025,Email,18,0.10%,14,0.17%,77.78%,3m 16s,8.61,155,0.20%,0.00,,0.00%,$0.00
Jun 2025,Organic Shopping,16,0.09%,6,0.07%,37.50%,12s,3.25,52,0.07%,0.00,,0.00%,$0.00
Jun 2025,Paid Search,11,0.06%,0,0.00%,0.00%,0s,3.00,33,0.04%,0.00,,0.00%,$0.00
Jul 2025,TOTAL,"15,131",,"6,523",,43.11%,41s,4.33,"65,562",,0.00,,0.00%,$0.00
Jul 2025,Organic Search,"7,582",50.11%,"3,493",53.55%,46.07%,47s,4.54,"34,438",52.53%,0.00,,0.00%,$0.00
Jul 2025,Direct,"5,118",33.82%,"2,009",30.80%,39.25%,32s,4.11,"21,034",32.08%,0.00,,0.00%,$0.00
Jul 2025,Referral,"1,057",6.99%,511,7.83%,48.34%,45s,4.65,"4,912",7.49%,0.00,,0.00%,$0.00
Jul 2025,Organic Social,828,5.47%,379,5.81%,45.77%,33s,3.97,"3,291",5.02%,0.00,,0.00%,$0.00
Jul 2025,Organic Video,205,1.35%,106,1.63%,51.71%,1m 10s,5.36,"1,098",1.67%,0.00,,0.00%,$0.00
Jul 2025,Unassigned,143,0.95%,57,0.87%,39.86%,54s,4.93,705,1.08%,0.00,,0.00%,$0.00
Jul 2025,Email,8,0.05%,5,0.08%,62.50%,3m 10s,7.50,60,0.09%,0.00,,0.00%,$0.00
Jul 2025,Organic Shopping,4,0.03%,1,0.02%,25.00%,11s,3.00,12,0.02%,0.00,,0.00%,$0.00
Jul 2025,Paid Search,4,0.03%,0,0.00%,0.00%,0s,3.00,12,0.02%,0.00,,0.00%,$0.00
Aug 2025,TOTAL,"14,158",,"6,281",,44.36%,41s,4.35,"61,649",,0.00,,0.00%,$0.00
Aug 2025,Organic Search,"6,953",49.11%,"3,293",52.43%,47.36%,48s,4.51,"31,365",50.88%,0.00,,0.00%,$0.00
Aug 2025,Direct,"4,710",33.27%,"1,932",30.76%,41.02%,34s,4.22,"19,878",32.24%,0.00,,0.00%,$0.00
Aug 2025,Referral,"1,025",7.24%,493,7.85%,48.10%,42s,4.71,"4,823",7.82%,0.00,,0.00%,$0.00
Aug 2025,Organic Social,660,4.66%,275,4.38%,41.67%,22s,3.87,"2,551",4.14%,0.00,,0.00%,$0.00
Aug 2025,Email,375,2.65%,156,2.48%,41.60%,30s,4.37,"1,639",2.66%,0.00,,0.00%,$0.00
Aug 2025,Organic Video,138,0.97%,74,1.18%,53.62%,1m 11s,5.43,750,1.22%,0.00,,0.00%,$0.00
Aug 2025,Unassigned,115,0.81%,49,0.78%,42.61%,1m 06s,5.51,634,1.03%,0.00,,0.00%,$0.00
Aug 2025,Paid Search,2,0.01%,0,0.00%,0.00%,0s,3.00,6,0.01%,0.00,,0.00%,$0.00
Aug 2025,Organic Shopping,1,0.01%,1,0.02%,100.00%,21s,3.00,3,0.00%,0.00,,0.00%,$0.00
Sep 2025,TOTAL,"16,952",,"7,848",,46.30%,40s,5.27,"89,303",,0.00,,0.00%,$0.00
