Traffic acquisition by channel — Jan 2025 to May 2026,,,,,,,,,,,,,,
Month,Channel,Total users,%,New users,%,Returning users,%,"Avg engagement
time / user","Engaged sessions
/ user",Event count,%,Key events,%,"User key
event rate"
Jan 2025,Total,"5,295",100.00%,"4,474",100.00%,"1,485",100.00%,1m 40s,0.97,"51,959",100.00%,0,,0.00%
Jan 2025,Organic Search,"2,091",39.49%,"1,821",40.70%,611,41.14%,1m 55s,1.06,"20,793",40.02%,0,,0.00%
Jan 2025,Direct,"1,960",37.02%,"1,500",33.53%,711,47.88%,1m 52s,1.19,"23,485",45.20%,0,,0.00%
Jan 2025,Referral,900,17.00%,867,19.38%,95,6.40%,47s,0.50,"4,948",9.52%,0,,0.00%
Jan 2025,Organic Social,228,4.31%,190,4.25%,30,2.02%,46s,0.68,"1,317",2.53%,0,,0.00%
Jan 2025,Organic Video,56,1.06%,48,1.07%,15,1.01%,2m 34s,1.16,717,1.38%,0,,0.00%
Jan 2025,Email,55,1.04%,46,1.03%,20,1.35%,2m 17s,1.34,648,1.25%,0,,0.00%
Jan 2025,Unassigned,5,0.09%,2,0.04%,3,0.20%,3m 06s,1.00,51,0.10%,0,,0.00%
Feb 2025,Total,"5,068",100.00%,"4,205",100.00%,"1,521",100.00%,1m 41s,0.99,"50,091",100.00%,0,,0.00%
Feb 2025,Organic Search,"2,064",40.73%,"1,768",42.05%,630,41.42%,1m 55s,0.99,"19,349",38.63%,0,,0.00%
Feb 2025,Direct,"2,027",40.00%,"1,550",36.86%,724,47.60%,1m 35s,1.09,"23,386",46.69%,0,,0.00%
Feb 2025,Referral,624,12.31%,586,13.94%,94,6.18%,1m 15s,0.68,"4,486",8.96%,0,,0.00%
Feb 2025,Organic Social,232,4.58%,197,4.68%,43,2.83%,1m 23s,0.84,"1,916",3.83%,0,,0.00%
Feb 2025,Organic Video,100,1.97%,93,2.21%,21,1.38%,1m 17s,0.80,753,1.50%,0,,0.00%
Feb 2025,Email,11,0.22%,2,0.05%,8,0.53%,7m 06s,1.80,157,0.31%,0,,0.00%
Feb 2025,Unassigned,6,0.12%,5,0.12%,1,0.07%,36s,0.40,32,0.06%,0,,0.00%
Feb 2025,Paid Search,4,0.08%,4,0.10%,0,0.00%,0s,0.00,12,0.02%,0,,0.00%
Mar 2025,Total,"6,158",100.00%,"5,212",100.00%,"1,783",100.00%,1m 42s,1.04,"61,471",100.00%,0,,0.00%
Mar 2025,Organic Search,"2,688",43.65%,"2,370",45.47%,743,41.67%,1m 52s,1.03,"25,922",42.17%,0,,0.00%
Mar 2025,Direct,"2,542",41.28%,"1,990",38.18%,884,49.58%,1m 40s,1.19,"29,126",47.38%,0,,0.00%
Mar 2025,Referral,577,9.37%,532,10.21%,91,5.10%,1m 24s,0.69,"3,976",6.47%,0,,0.00%
Mar 2025,Organic Social,237,3.85%,202,3.88%,36,2.02%,47s,0.71,"1,454",2.37%,0,,0.00%
Mar 2025,Organic Video,108,1.75%,99,1.90%,19,1.07%,1m 04s,0.65,760,1.24%,0,,0.00%
Mar 2025,Email,16,0.26%,9,0.17%,8,0.45%,1m 30s,1.44,186,0.30%,0,,0.00%
Mar 2025,Paid Search,7,0.11%,7,0.13%,0,0.00%,0s,0.00,21,0.03%,0,,0.00%
Mar 2025,Unassigned,5,0.08%,3,0.06%,2,0.11%,3m 04s,0.75,26,0.04%,0,,0.00%
Apr 2025,Total,"5,641",100.00%,"4,653",100.00%,"1,711",100.00%,1m 34s,1.00,"54,017",100.00%,0,,0.00%
Apr 2025,Direct,"2,653",47.03%,"2,087",44.85%,863,50.44%,1m 21s,0.96,"26,349",48.78%,0,,0.00%
