xCloud Website Traffic Analytics Report,,,,,,,,,,,,,,,,,,
January 2025 – May 2026,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
User acquisition by Channel | Monthly (Jan 2025 to May 2026),,,,,,,,,,,,,,,,,,
Channel,Jan'25,Feb'25,Mar'25,Apr'25,May'25,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,Data Issue Fixed,Apr'26,May'26
Organic Search,"2,091","2,064","2,688","2,254","2,381","3,002","2,568","2,475","3,765","3,708","5,082","7,994","17,242","9,275","7,395",,"5,378","4,736"
Direct,"1,960","2,027","2,542","2,653","3,821","3,290","2,882","2,769","2,919","3,611","8,043","12,207","12,825","11,796","13,295",,"7,844","7,323"
Referral,900,624,577,365,393,434,406,471,458,614,911,"1,147","1,407","1,841","2,376",,"1,500","1,274"
Organic Social,228,232,237,259,423,337,327,261,279,287,"1,758","1,673",498,840,720,,663,799
Unassigned,5,6,5,6,3,157,21,30,210,145,"1,445","2,472",523,"4,360","2,295",,"1,980","1,030"
Paid Search,–,4,7,–,–,11,4,2,–,"2,851",501,303,"1,295","3,593","1,866",,"1,002","1,652"
Organic Shopping,–,–,–,–,–,1,–,–,–,–,–,–,–,–,74,,32,–
Display,–,–,–,–,–,–,–,–,–,–,"1,334","1,544","3,756","2,198","2,072",,628,–
Mobile Push Notifications,–,–,–,–,–,–,–,–,107,178,"1,668","1,689",302,167,–,,–,–
Cross-network,–,–,–,–,–,–,–,–,–,21,345,"2,939",150,125,–,,37,38
Organic Video,56,100,108,95,100,213,97,99,91,90,232,–,122,–,127,,84,61
Email,55,11,16,9,16,16,12,334,319,18,–,–,–,147,97,,–,8
Paid Social,–,–,–,–,–,–,–,–,–,–,–,972,–,–,–,,–,7
Total,"5,295","5,068","6,158","5,641","7,133","7,488","6,322","6,415","8,066","11,483","21,525","33,076","38,337","34,556","30,305",,"19,466","16,934"
,,,,,,,,,,,,,,,,,,
User acquisition Overview (Jan 2025 to May 2026),,,,,,,,,,,,,,,,,,
Metric,Direct,Organic Search,Referral,Unassigned,Paid Search,Display,Organic Social,Mobile Push Notif.,Cross-network,Organic Video,Total,,,,,,,
Total users,"82,859 (36.15%)","76,244 (33.26%)","14,734 (6.43%)","14,033 (6.12%)","12,669 (5.53%)","11,512 (5.02%)","8,765 (3.82%)","3,886 (1.7%)","3,591 (1.57%)","1,775 (0.77%)","229,205",,,,,,,
New users,"78,317 (34.96%)","75,546 (33.72%)","14,611 (6.52%)","13,956 (6.23%)","12,608 (5.63%)","11,512 (5.14%)","8,622 (3.85%)","3,869 (1.73%)","3,569 (1.59%)","1,759 (0.79%)","224,050",,,,,,,
Returning users,"17,314 (45.49%)","13,364 (35.11%)","1,952 (5.13%)","1,175 (3.09%)","1,052 (2.76%)",327 (0.86%),"1,100 (2.89%)",369 (0.97%),368 (0.97%),303 (0.8%),"38,061",,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Traffic Acquisition by Channel (GA4) | | Monthly (Jan 2025 to May 2026),,,,,,,,,,,,,,,,,,
Channel,Jan'25,Feb'25,Mar'25,Apr'25,May'25,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,,Apr'26,May'26
Organic Search,"5,730","5,656","6,891","6,448","7,156","8,571","7,582","6,953","8,992","8,253","12,584","23,384","34,585","28,492","27,641",We fixed data issue on April 4,"13,352","11,427"
